dataset,minsup_pct,time_ms
chess,90,43
chess,80,94
chess,70,260
chess,60,794
chess,50,2651
chess,40,8642
chess,30,34898
chess,20,287039
mushrooms,50,48
mushrooms,40,50
mushrooms,30,55
mushrooms,20,66
mushrooms,15,76
mushrooms,10,97
mushrooms,5,134
retail,7,481
retail,6,443
retail,5,397
retail,4,403
retail,3,392
retail,2,393
retail,1,403
accidents,90,546
accidents,80,680
accidents,70,971
accidents,60,2042
accidents,50,5427
accidents,40,16873
accidents,30,60800
accidents,20,259594
T10I4D100K,7,98
T10I4D100K,6,100
T10I4D100K,5,100
T10I4D100K,4,101
T10I4D100K,3,104
T10I4D100K,2,110
T10I4D100K,1,113
